label,notes,github_url,repo,commit_date,commit_message,is_different_author,time_gap_days,file_path,target_class,comment_type,added_comment,target_method
,,https://github.com/camunda/camunda/commit/b3cbd2ece81cd275fa88ec1e1586ef9273d70a37,camunda/camunda,2024-02-12,refactor(raft): document force configure protocol,-1,,ReconfigurationHelper.java,ReconfigurationHelper,javadoc,"  /**
   * Force configuration works as follows. Assume current members are 0,1,3,4, and we want to force
   * remove 2 and 3.
   *
   * <pre>
   *
   *   External                        Raft 0 (follower)                     Raft 1 (follower)             Raft 2/3
   *      |                                 |                                     |                        (Members to be removed)
   *      |    forceConfigure([0,1])        |                                     |                                    |
   *      |-------------------------------->|                                     |                                    |
   *      |                                 |                                     |                                    |
   *      |               Configuration={   |                                     |                                    |
   *      |                newMembers=[0,1],|                                     |                                    |
   *      |                oldMembers=[]    |                                     |                                    |
   *      |                force=TRUE       |                                     |                                    |
   *      |               Commit new config |   ForceConfigureRequest(newMembers) |                                    |
   *      |                                 |------------------------------------>|                                    |
   *      |                                 |               OK                    |Commit new Configuration            |
   *      |         OK                      |<------------------------------------|                                    |
   *      |<--------------------------------|                                     |        Poll/Vote/Append            |
   *      |                                 |                                     |<-----------------------------------|
   *      |                        election |             poll/vote               |----------------------------------->|
   *      |                        timeout  ------------------------------------->|     Reject because Force==TRUE     |
   *      |                                 |               OK                    |                                    |
   *      |                                 |<------------------------------------|                                    |
   *      |                    Become leader|                                     |                                    |
   *      |                                 |                                     |                                    |
   *      |             Append InitialEntry |                                     |                                    |
   *      |       Append ConfigurationEntry |                                     |                                    |
   *      |               Configuration={   |           AppendEntry               |                                    |
   *      |                newMembers=[0,1] |------------------------------------>|                                    |
   *      |                force=FALSE      |<------------------------------------|                                    |
   *      |               }                 |                                     |                                    |
   *      |                                 |------------------------------------>|                                    |
   *      |                                 |<------------------------------------|                                    |
   *      |                                 |                                     |                                    |
   *      |                Commit new config|            AppendEntry              |On commitIndex update               |
   *      |                                 |------------------------------------>|Commit new config                   |
   *      |                                 |                                     |                                    |
   *      |                                 |                                     |      Poll/Vote                     |
   *      |                                 |                                     |<-----------------------------------|
   *      |                                 |                                     |  Reject because log not uptodate   |
   *      |                                 |                                     |----------------------------------->|
   *      |                                 |                                     |                                    |
   * </pre>
   */","  private void leaveInternal(final CompletableFuture<Void> future) {
    final var leaving = raftContext.getCluster().getLocalMember();
    final var receiver =
        Optional.ofNullable(raftContext.getLeader())
            .map(DefaultRaftMember::memberId)
            .or(
                () ->
                    raftContext.getCluster().getVotingMembers().stream()
                        .map(RaftMember::memberId)
                        .findAny())
            .orElseThrow();
    raftContext
        .getProtocol()
        .leave(receiver, LeaveRequest.builder().withLeavingMember(leaving).build())
        .whenCompleteAsync(
            (response, error) -> {
              if (error != null) {
                future.completeExceptionally(error);
              } else if (response.status() == Status.OK) {
                future.complete(null);
                raftContext.updateState(State.LEFT);
              } else {
                future.completeExceptionally(response.error().createException());
              }
            },
            threadContext);
  }"
,,https://github.com/jenkinsci/jenkins/commit/ad4c39f5e24db2af2c5d1fad9febdfdd65afdf08,jenkinsci/jenkins,2013-03-08,Clarifying that symlinkPath may not be absolute.,-1,,Util.java,Util,inline,     *      Where to create a symlink in (relative to {@code baseDir}),"    public static FileSet createFileSet(File baseDir, String includes) {
        return createFileSet(baseDir,includes,null);
    }"
,,https://github.com/google/guava/commit/14978e59e56fc770853c3fe3cecd6b8c4d97997b,google/guava,2017-03-22,"Moved TimeLimiter's class-level documentation to newProxy() and replaced it with more general info.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=150894315",-1,,TimeLimiter.java,,inline," * Imposes a time limit on method calls.
---
   * <p>For example, to return the value of {@code target.someMethod()}, but substitute {@code
   * DEFAULT_VALUE} if this method call takes over 50 ms, you can use this code:
   *
   * <pre>
   *   TimeLimiter limiter = . . .;
   *   TargetType proxy = limiter.newProxy(
   *       target, TargetType.class, 50, TimeUnit.MILLISECONDS);
   *   try {
   *     return proxy.someMethod();
   *   } catch (UncheckedTimeoutException e) {
   *     return DEFAULT_VALUE;
   *   }
   * </pre>
   *",
,,https://github.com/oracle/graal/commit/ceca6d89ab9b66bbed4a68bf91b50e43adc57fa8,oracle/graal,2017-11-08,Javadoc: Clarify relationship of IS_POINTER and TO_NATIVE messages.,-1,,Message.java,,inline," * Copyright (c) 2014, 2017, Oracle and/or its affiliates. All rights reserved.
---
     * It is expected that objects should only return {@link Boolean#TRUE} here if the native
     * pointer value corresponding to this object already exists, and obtaining it is a cheap
     * operation. If an object can be transformed to a pointer representation, but this hasn't
     * happened yet, the object is expected to return {@link Boolean#FALSE} to {@link #IS_POINTER},
     * and wait for the {@link #TO_NATIVE} message to trigger the transformation.
     *
---
     * If an object returns true for {@link #IS_POINTER}, it is still expected that this object
     * supports the {@link #TO_NATIVE} message. It can just return a reference to itself in that
     * case.
     * <p>",
,,https://github.com/google/ExoPlayer/commit/fac7b16915bb1cdb6cec0b374d087c60f7a6aad9,google/ExoPlayer,2022-09-07,"Clarify GlTextureProcessor.InputListener contract

PiperOrigin-RevId: 472745311
(cherry picked from commit 5e2823bb1e9d6c4331dba083ff1d050743bd2e25)",-1,,GlTextureProcessor.java,,inline,"     * <p>The implementation shall not assume the {@link GlTextureProcessor} is {@linkplain
     * #onReadyToAcceptInputFrame ready to accept another input frame} when this method is called.
     *","    default void onReadyToAcceptInputFrame() {}
"
,,https://github.com/google/ExoPlayer/commit/6509dce6b7cea332b22449bfdd7bade6f74515be,google/ExoPlayer,2017-06-30,"Clarify JavaDoc of MediaPeriod.

Two of MediaPeriod's methods are only called after the media period has been
prepared. Added this to JavaDoc of these method to simplify implementations.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=160510373",-1,,MediaPeriod.java,,inline,"   * <p>
   * This method should only be called after the period has been prepared.",
,,https://github.com/openjdk/jdk/commit/1d3192ee04183f0c8b13bf21e1aff2e9dedb3dfa,openjdk/jdk,2014-07-16,"4867890: Clarify the return value/exception for java.security.SignedObject.verify

Reviewed-by: weijun",-1,,SignedObject.java,,inline," * Copyright (c) 1997, 2014, Oracle and/or its affiliates. All rights reserved.
---
     * @exception SignatureException if signature verification failed (an
     *     exception prevented the signature verification engine from completing
     *     normally).",
,,https://github.com/jenkinsci/jenkins/commit/cce6d8b17e479c48fd128b75851e61bd4f8bb5d6,jenkinsci/jenkins,2008-08-10,"clarifying ID semantics

git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@11362 71c3de6d-444a-0410-be80-ed276b4c234a",-1,,FeedAdapter.java,,inline,"     *
     * This needs to produce a tag URL as per RFC 4151, required by Atom 1.0.",
,,https://github.com/spotbugs/spotbugs/commit/2e9d29c649befbce20b58a51cd8515e1f1e25165,spotbugs/spotbugs,2022-09-02,"chore: add a comment to describe why we check `depth == 1`

Signed-off-by: Kengo TODA <skypencil@gmail.com>",-1,,BetterCFGBuilder2.java,Context,inline,"                    // now we assume that the previous instruction (prevPrev) is the opcode
                    // that pushes the reference to the target of PUTFIELD","                } else if (prevInst instanceof DUP_X1 && depth == 3) {
                    depth = 1;"
,,https://github.com/robolectric/robolectric/commit/b5bbc24081725be9e4bb3700f3d132a49021a40f,robolectric/robolectric,2014-01-01,Add comments to clarify which classes are being shadowed.,-1,,ShadowAsyncTaskLoader.java,,javadoc,"/**
 * Shadow AsyncTaskLoader from the support library.
 */
---
/**
 * Shadow Loader from the support library.
 */",
